id,authorName
1,Xuesong Ye
2,Qiang Cai
3,Yuquan Chen
4,Nidhi Bhatla
5,Kiran Jyoti
6,Argyro Kampouraki
7,Christophoros Nikou
8,Roohallah Alizadehsani
9,Mohammad Javad Hosseini
10,Abbas Khosravi
11,Fahime Khozeimeh
12,Mohamad Roshanzamir
13,Nizal Sarrafzadegan
14,Saeid Nahavandi
15,Manish Motwani
16,Damini Dey
17,Daniel S. Berman
18,Guido Germano
19,Stephan Achenbach
21,Daniele Andreini
22,Matthew J. Budoff
23,Filippo Cademartiri
24,Tracy Q. Callister
25,Hyuk-Jae Chang
26,Kavitha Chinnaiyan
27,Benjamin J.W. Chow
28,Ahmed Fawzi Otoom
29,Emad E. Abdallah
30,Yousef Kilani
31,Ahmed Kefaye
32,Mohammad Ashour
33,M. Cengiz ?olak
34,Cemil ?olak
35,Hasan Kocat�rk
36,Seref Sagroglu
37,Irfan Barut�u
38,Quazi Abidur Rahman
39,Larisa G. Tereshchenko
40,Matthew Kongkatong
41,Theodore Abraham
42,M. Roselle Abraham
43,Hagit Shatkay
44,Steven Rosenberg
45,Michael R. Elashoff
46,Philip Beineke
47,Susan E. Daniels
48,James A. Wingrove
49,Whittemore G. Tingley
50,Philip T. Sager
51,William E. Kraus
52,L. Kristin Newby
53,Robert S. Schwartz
54,Michael Green
55,Jonas Bjork
56,Jakob Forberg
57,Ulf Ekelund
58,Lars Edenbrandt
59,Mattias Ohlsson
60,J. R. Quinlan
61,Sri Hartati
62,Zhang-Wei Chen
63,Ying-Hua Chen
64,Ju-Ying Qian
65,Jian-Ying Ma
66,Jun-Bo Ge
67,R. Rajkumar
68,Anandakumar K.
69,Bharathi A.
70,V. Mahesh
71,A. Kandaswamy
72,C. Vimal
73,B. Sathish
74,Padmakumari K. N. Anooj
75,Reza Arsanjani
76,Yuan Xu
78,Vishal Vahistha
79,Aryeh Shalev
80,Rine Nakanishi
81,Sean Hayes
82,Mathews Fish
85,Piotr J. Slomka
86,Luxmi Verma
87,Sangeet Srivastava
88,P. C. Negi
89,Yelin Yang
90,Li Chen
91,Yeung Yam
93,Mouaz Al-Mallah
98,Indrajit Mandal
99,N. Sairam
100,Adel Lahsasna
101,Raja Noor Ainon
102,Roziati Zainuddin
103,Awang Bulgiba
104,A.Q. Ansari
105,Neeraj Kumar Gupta
106,Arijit Ukil
107,Soma Bandyoapdhyay
108,Chetanya Puri
109,Arpan Pal
110,Kayapanda Mandana
111,Esra Mahsereci Karabulut
112,Turgay ?brik�i
113,M. Akhil Jabbar
114,B.L Deekshatulu
115,Priti Chandra
116,Harun U?uz
117,Heon Gyu Lee
118,Wuon-Shik Kim
119,Ki Yong Noh
120,Jin-Ho Shin
121,Unil Yun
122,Keun Ho Ryu
